,IdList
1490,30209430
1491,30208938
1492,30208909
1493,30208819
1494,30208589
1495,30207814
1496,30207351
1497,30207271
1498,30207268
1499,30206280
1500,30205580
1501,30205548
1502,30205522
1503,30205436
1504,30204483
1505,30204276
1506,30204245
1507,30203289
1508,30203196
1509,30202973
1510,30202815
1511,30201971
1512,30201950
1513,30201876
1514,30201764
1515,30201225
1516,30201103
1517,30200990
1518,30200865
1519,30200659
1520,30200502
1521,30200454
1522,30200432
1523,30200239
1524,30200115
1525,30198627
1526,30198375
1527,30197908
1528,30196937
1529,30196772
1530,30196160
1531,30194696
1532,30194548
1533,30193785
1534,30193589
1535,30193395
1536,30193114
1537,30192004
1538,30190536
1539,30190464
1540,30190007
1541,30189642
1542,30189619
1543,30189607
1544,30189540
1545,30189367
1546,30189364
1547,30189363
1548,30189250
1549,30189182
1550,30189147
1551,30188965
1552,30188750
1553,30188493
1554,30187895
1555,30187832
1556,30187293
1557,30186533
1558,30185849
1559,30185666
1560,30185180
1561,30184739
1562,30183503
1563,30183494
1564,30183290
1565,30183039
1566,30182854
1567,30181690
1568,30181511
1569,30181158
1570,30180949
1571,30180888
1572,30179726
1573,30178808
1574,30178798
1575,30178736
1576,30178194
1577,30177770
1578,30177649
1579,30177634
1580,30177588
1581,30177151
1582,30176958
1583,30176893
1584,30176807
1585,30176566
1586,30175725
1587,30175430
1588,30175257
1589,30175137
1590,30175052
1591,30174691
1592,30174651
1593,30174510
1594,30174308
1595,30174302
1596,30174229
1597,30174051
1598,30173509
1599,30172252
1600,30171916
1601,30170995
1602,30170731
1603,30170306
1604,30170304
1605,30169795
1606,30168607
1607,30168511
1608,30168044
1609,30167852
1610,30167574
1611,30167570
1612,30167430
1613,30166974
1614,30166563
1615,30161155
1616,30159983
1617,30159285
1618,30159060
1619,30159057
1620,30158649
1621,30158592
1622,30158569
1623,30158241
1624,30158223
1625,30157819
1626,30157220
1627,30157109
1628,30156246
1629,30156176
1630,30156058
1631,30155856
1632,30155750
1633,30155650
1634,30154417
1635,30154352
1636,30153545
1637,30153476
1638,30153321
1639,30153290
1640,30153273
1641,30153066
1642,30152114
1643,30152105
1644,30151237
1645,30151234
1646,30151232
1647,30151230
1648,30151229
1649,30151225
1650,30151213
1651,30151194
1652,30150094
1653,30149681
1654,30149518
1655,30149267
1656,30148757
1657,30148680
1658,30148215
1659,30148107
1660,30146891
1661,30145572
1662,30145269
1663,30144975
1664,30144630
1665,30144467
1666,30144269
1667,30143610
1668,30143607
1669,30143599
1670,30143408
1671,30143305
1672,30143076
1673,30142366
1674,30141985
1675,30141582
1676,30141315
1677,30141265
1678,30141234
1679,30141182
1680,30141160
1681,30140371
1682,30140177
1683,30139631
1684,30139630
1685,30139562
1686,30139344
1687,30139225
1688,30138755
1689,30138641
1690,30138626
1691,30138547
1692,30137950
1693,30137481
1694,30137123
1695,30136893
1696,30135414
1697,30135362
1698,30135311
1699,30135249
1700,30135180
1701,30134638
1702,30134595
1703,30134573
1704,30134549
1705,30134248
1706,30133773
1707,30133656
1708,30133617
1709,30133134
1710,30132867
1711,30132433
1712,30132243
1713,30131457
1714,30131435
1715,30131248
1716,30131158
1717,30130954
1718,30130543
1719,30129505
1720,30128932
1721,30127768
1722,30127325
1723,30126844
1724,30126689
1725,30126463
1726,30126346
1727,30126176
1728,30125063
1729,30125695
1730,30124145
1731,30123797
1732,30123791
1733,30122874
1734,30122686
1735,30121854
1736,30121807
1737,30121579
1738,30121575
1739,30121567
1740,30121310
1741,30120910
1742,30120064
1743,30118771
1744,30118514
1745,30118483
1746,30118352
1747,30117227
1748,30116740
1749,30116508
1750,30116490
1751,30116479
1752,30116319
1753,30116212
1754,30116165
1755,30115853
1756,30115826
1757,30115652
1758,30115555
1759,30115415
1760,30115043
1761,30114710
1762,30114411
1763,30112914
1764,30112875
1765,30112569
1766,30112394
1767,30112303
1768,30112044
1769,30111758
1770,30111728
1771,30111678
1772,30111496
1773,30111387
1774,30110943
1775,30110887
1776,30109955
1777,30109842
1778,30109669
1779,30109221
1780,30108963
1781,30108512
1782,30107490
1783,30107135
1784,30106625
1785,30106624
1786,30106622
1787,30106479
1788,30106124
1789,30105962
1790,30105901
1791,30105819
1792,30104485
1793,30104247
1794,30104112
1795,30103753
1796,30103535
1797,30103515
1798,30103509
1799,30103441
1800,30103429
1801,30103401
1802,30103390
1803,30102932
1804,30102890
1805,30102711
1806,30102568
1807,30102041
1808,30101502
1809,30100246
1810,30100243
1811,30099827
1812,30099727
1813,30097911
1814,30097828
1815,30097632
1816,30097599
1817,30096921
1818,30096878
1819,30096853
1820,30096821
1821,30096799
1822,30096758
1823,30096305
1824,30096208
1825,30095217
1826,30095153
1827,30094122
1828,30094113
1829,30093912
1830,30093598
1831,30093356
1832,30093310
1833,30093114
1834,30092704
1835,30092606
1836,30092569
1837,30091668
1838,30091431
1839,30090167
1840,30090085
1841,30089778
1842,30089335
1843,30089279
1844,30089270
1845,30089130
1846,30088983
1847,30088676
1848,30088336
1849,30088333
1850,30088302
1851,30088008
1852,30087152
1853,30087032
1854,30086873
1855,30084705
1856,30084652
1857,30084544
1858,30084105
1859,30083538
1860,30082749
1861,30082748
1862,30082636
1863,30082324
1864,30081982
1865,30081522
1866,30081425
1867,30081082
1868,30080858
1869,30080446
1870,30079946
1871,30079824
1872,30079316
1873,30079055
1874,30078941
1875,30078194
1876,30077663
1877,30077203
1878,30076779
1879,30076718
1880,30075193
1881,30075164
1882,30074500
1883,30074168
1884,30074108
1885,30073721
1886,30073645
1887,30072596
1888,30072447
1889,30071904
1890,30071860
1891,30071855
1892,30071656
1893,30071535
1894,30071525
1895,30071278
1896,30071254
1897,30071127
1898,30070999
1899,30070890
1900,30070889
1901,30070887
